prompt,pergunta,resposta
0,Ela vai de carro prá escola e eu só vou a pé.,"Entendo que você está comparando a maneira como chega à escola com outra pessoa. Pode ser frustrante ver alguém ter um meio de transporte aparentemente mais conveniente. Se quiser, podemos conversar sobre formas de tornar sua caminhada mais agradável ou discutir possíveis alternativas para melhorar seu trajeto até a escola!"
0,Ela tem amigos à beça eu só tenho o Zé Prá consolar,"Parece que você está se sentindo um pouco deixado de lado em relação à quantidade de amigos. Ter menos amigos não significa que suas amizades são menos valiosas. O importante é a qualidade das amizades, e ter alguém como o Zé para consolar já é algo especial. Se quiser, posso te dar algumas dicas sobre como fazer novas amizades ou melhorar suas relações sociais!"
0,As tardes de domingo que eu passo à sofrer Sonhando em ter Um carro conversível prá ela me querer.,"Parece que você está expressando um desejo de ter algo que acredita poder melhorar sua situação ou impressionar alguém. Sonhar com um carro conversível pode simbolizar a busca por liberdade, status ou uma forma de chamar a atenção. É natural querer conquistar certas coisas, mas lembre-se de que as relações verdadeiras se baseiam em quem somos e não no que possuímos. Se quiser conversar sobre esses sentimentos ou discutir formas saudáveis ​​de construir confiança e conexões significativas com os outros, estou aqui para ajudar!"
0,Quantas noites em claro eu passei tentando esquecê-la.,"Parece que você está passando por um momento de angústia e talvez sentindo dificuldade em superar sentimentos por alguém. Passar noites em claro pensando ou tentando esquecer uma pessoa pode ser muito desgastante emocionalmente. Se quiser, posso oferecer algumas sugestões sobre como lidar com esses sentimentos ou discutir maneiras de encontrar conforto e paz durante esse processo difícil. Estou aqui para ajudar no que precisar!"
0,Quando à noite eu consigo dormir eu sonho é com ela.,"Parece que seus sentimentos por essa pessoa são realmente profundos e estão afetando tanto suas horas acordadas quanto as de sono. Sonhar com alguém por quem temos sentimentos pode ser uma forma de nosso subconsciente processar essas emoções. Se esses sonhos estão te impactando, podemos explorar algumas estratégias para ajudá-lo a lidar melhor com esses pensamentos e talvez encontrar formas mais positivas de direcionar seu foco emocional. Estou aqui para apoiar você nesse processo!"
0,Ela me diz prá não ter ilusões que entre nós não pode ser.,"Parece que você está lidando com um momento desafiador, onde a pessoa em questão foi honesta sobre seus sentimentos e as limitações do relacionamento. Isso pode ser doloroso de ouvir, especialmente se suas esperanças estavam direcionadas para uma possibilidade diferente. É importante valorizar essa abertura da outra parte e pensar no seu bem-estar emocional também. Se precisar de apoio ou quiser discutir como seguir em frente depois dessa conversa difícil, estou aqui para ajudá-lo!"
0,E é mesmo assim. Nem mesmo no meu sonho eu posso tê-la pra mim.,"Parece que você está vivenciando uma situação onde, mesmo em seus sonhos, a realidade dos sentimentos não correspondidos persiste. Isso pode ser bastante doloroso e frustrante. Às vezes, nosso subconsciente continua processando esses sentimentos profundos durante o sono. É importante cuidar de si mesmo enquanto navega por essas emoções complexas. Talvez explorar novas atividades ou focar em outros aspectos positivos da vida possa ajudar a aliviar um pouco dessa carga emocional. Estou aqui para conversar sobre estratégias que possam auxiliar nesse processo de cura e crescimento pessoal!"
0,"Eu tentei naquela festa, ela fugiu de mim","Lamento ouvir que a situação na festa não saiu como você esperava. Pode ser doloroso quando nossas tentativas de aproximação não são bem recebidas. Isso pode acontecer por vários motivos e nem sempre está sob nosso controle. É importante respeitar os sentimentos e o espaço da outra pessoa, mesmo que isso seja difícil para nós.

Se precisar conversar sobre seus sentimentos ou quiser discutir maneiras de lidar com essas situações no futuro, estou aqui para ajudar! Lembre-se de cuidar do seu bem-estar emocional durante esse período desafiador.
"
0,"E eu pensei a vida não presta, ela não gosta de mim.","Sinto muito que você esteja se sentindo assim. Pode ser realmente doloroso quando sentimos que alguém de quem gostamos não sente o mesmo por nós. É importante lembrar que o valor da sua vida não depende de como os outros sentem em relação a você; há muitos aspectos e experiências valiosos fora desse relacionamento específico.

Se precisar, estou aqui para ajudar a explorar maneiras de encontrar satisfação pessoal e redirecionar seu foco emocional para coisas ou atividades que tragam mais alegria e realização à sua vida. Às vezes, conversar sobre essas emoções pode oferecer novas perspectivas ou trazer algum alívio durante esses momentos desafiadores."
1,Ela vai de carro prá escola e eu só vou a pé.,"Boas-vindas! Sou a Glenda, sua assistente psicoterapeuta virtual. Como posso chamá-lo(a)? 

Compartilhar suas experiências pode ajudar você a processar como está se sentindo. Parece que há uma comparação entre suas rotinas de deslocamento escolar. Você gostaria de falar mais sobre o que sentir ao pensar nisso? Estou aqui para ouvir e apoiar da melhor forma possível."
